clipfrac,eprewmean,serial_timesteps,value_loss,eplenmean,policy_loss,fps,approxkl,total_timesteps,explained_variance,nupdates,time_elapsed,policy_entropy
0.051658135,1833.2525509800003,2048,0.33796084,46.04,-0.006350814,586,0.0047515873,49152,-0.5396921634674072,1,83.82806611061096,11.349848
0.05537312,1738.5617472500003,4096,0.117866516,57.15,-0.00805899,592,0.004963659,98304,-0.6468096971511841,2,166.7598569393158,11.338651
0.051352948,1850.9248471600004,6144,0.09451933,47.05,-0.007789905,594,0.0047913464,147456,-0.18095815181732178,3,249.391921043396,11.319765
0.059069812,1691.01791451,8192,0.08678447,62.84,-0.008707674,595,0.0051763793,196608,-0.060822486877441406,4,331.981253862381,11.292949
0.054429125,1654.1359261400005,10240,0.078712046,72.3,-0.008957209,593,0.0049784495,245760,-0.030933141708374023,5,414.8154397010803,11.266565
0.062003575,1716.62077811,12288,0.08332588,64.95,-0.009638349,594,0.005364402,294912,-0.01802241802215576,6,497.4897677898407,11.237963
0.061997484,1633.51068131,14336,0.075725414,73.61,-0.009837149,594,0.0054053427,344064,-0.018736839294433594,7,580.2290678024292,11.202661
0.061932348,1791.0518456199998,16384,0.08881867,51.72,-0.00990047,593,0.005434343,393216,-0.01717555522918701,8,663.0638439655304,11.1690445
0.06468306,1749.9334943900003,18432,0.07885255,59.35,-0.010664444,595,0.0056163594,442368,-0.009514331817626953,9,745.5508873462677,11.132504
0.06497194,1763.3942899499996,20480,0.08749551,58.45,-0.010551701,594,0.0056614033,491520,-0.014901876449584961,10,828.2614226341248,11.097483
0.06516113,1753.2103725700001,22528,0.088034324,57.91,-0.0106221195,595,0.0056522815,540672,-0.006058216094970703,11,910.865373134613,11.077836
0.06334838,1788.0170634400001,24576,0.08677067,55.29,-0.010363731,593,0.0055441633,589824,-0.011311054229736328,12,993.699878692627,11.052378
0.07977703,1723.8908224000004,26624,0.075302705,62.2,-0.01227176,594,0.0063810176,638976,-0.008309364318847656,13,1076.4128606319427,11.026834
0.0735982,1733.2338114099998,28672,0.081203036,60.86,-0.012045867,594,0.0061874664,688128,-0.013514041900634766,14,1159.0849072933197,10.973871
0.0736145,1781.54173086,30720,0.0781357,54.48,-0.012154192,593,0.006105638,737280,-0.010664939880371094,15,1241.8470225334167,10.935686
