serial_timesteps,eplenmean,value_loss,total_timesteps,fps,time_elapsed,clipfrac,eprewmean,policy_entropy,approxkl,policy_loss,explained_variance,nupdates
2048,nan,0.49332792,24576,2061,11.922845840454102,0.13441569,nan,34.029266,0.009189483,-0.017106846,-1.4092259407043457,1
4096,nan,0.40282494,49152,2209,23.08070158958435,0.12583412,nan,33.99731,0.008589515,-0.01771054,-6.81102991104126,2
6144,nan,0.44951716,73728,2233,34.08600211143494,0.13743494,nan,33.968254,0.00921652,-0.019677993,-6.74536657333374,3
8192,nan,0.44249034,98304,2209,45.20873951911926,0.12408857,nan,33.887016,0.0085104825,-0.018251339,-7.568503379821777,4
10240,nan,0.4112596,122880,2167,56.54991817474365,0.13610436,nan,33.82496,0.009207461,-0.020009648,-7.032240867614746,5
12288,nan,0.37885877,147456,2176,67.84251618385315,0.1296346,nan,33.738937,0.008853799,-0.018719036,-5.672252655029297,6
14336,nan,0.3451174,172032,2169,79.17010354995728,0.1290894,nan,33.671867,0.008829619,-0.018765762,-3.9977431297302246,7
16384,nan,0.32161304,196608,2217,90.25219368934631,0.12521969,nan,33.62098,0.008555982,-0.018975802,-3.3186254501342773,8
18432,nan,0.3003191,221184,2195,101.44443345069885,0.13483068,nan,33.553932,0.00907639,-0.020593366,-2.7745351791381836,9
20480,nan,0.27762735,245760,2259,112.32434511184692,0.13623461,nan,33.480095,0.009177437,-0.020305272,-2.595576286315918,10
22528,nan,0.25282454,270336,2181,123.59106349945068,0.13432208,nan,33.421192,0.009057864,-0.02005824,-2.473592758178711,11
24576,nan,0.23100023,294912,2209,134.71313858032227,0.1334473,nan,33.37301,0.009066144,-0.020157602,-1.9607415199279785,12
26624,nan,0.20894893,319488,2223,145.76817440986633,0.14087316,nan,33.311905,0.009454127,-0.020942725,-1.643925666809082,13
28672,nan,0.18385461,344064,2226,156.80929470062256,0.13107912,nan,33.266445,0.00893941,-0.020592796,-1.5483283996582031,14
30720,nan,0.16488859,368640,2224,167.85681009292603,0.13013102,nan,33.217842,0.008897454,-0.020053254,-1.2539172172546387,15
32768,nan,0.14502595,393216,2212,178.96792554855347,0.134904,nan,33.196712,0.009041527,-0.020938585,-0.9407573938369751,16
