#{"t_start": 1524637493.622575, "env_id": "Starfish-SwimX-v0"}
r,l,t
-6998.599926,344552,1933.58484
-33.064852,4605,1948.161666
-18.600747,3850,1961.88723351-12.996262,3617,1973.76465.970753,2648,1986.393973
32.169524,1324,1994.263384
3524.043225,1731,2000.7833823534.456888,1188,2006.4800292933.597516,1272,2014.0669493333.169006,1272,2020.2182543335.421237,1161,2027.2536932.935374,1292,2035.960087
3635.33.546029,1221,2043.0863436.32.374465,1294,2050.81232.6532.174036,1309,2057.0836.08736.236236,1120,2063.935.374335.874056,1102,2069.337.113437.407987,1040,2076.236.275333.605783,1201,2083.536.802034.940927,1170,2089.35.373036.459206,1126,2096.336.398938.226518,987,2101.136.715336.20376,1115,2108.0436.81836.354711,1083,2113.2337.61936.379933,1073,2120.1735.91938.120254,1008,2125.0038.04037.560108,1002,2131.5536.74236.747117,1114,2137.0236.98136.098681,1119,2143.9539.28336.85218,1047,2149.0137.18038.101402,1023,2155.39.3699635.02193,1179,2161.37.8831739.69439,972,2167.9735.66639.807358,902,2172.3839.81935.9777,1123,2179.69237.6337.929184,1025,2184.7138.29438.048883,1034,2191.536.4348.284317,2544,2195.47436.338.169149,1040,2201.959238.7335.182647,1165,2208.21437.3839.216003,967,2214.37384340.577285,887,2218.7508123738.473234,961,2224.86377
337.315508,1044,2229.8827583940.013293,939,2236.1750473838.871864,972,2240.8677839.41.168142,873,2246.6238540.40.061723,904,2251.050540.839.478646,944,2257.272841.238.245274,988,2262.041039.940.404393,912,2266.493340.637.966157,1012,2272.84839.0039.951956,901,2277.2339.02438.280151,980,2283.5639.78540.738185,882,2287.9139.8641.26919,859,2293.660539.941.291891,834,2297.766239.440.552043,907,2303.975840.540.322566,889,2308.301341.740.617874,924,2312.8341.44240.937131,906,2318.6841.47841.561645,875,2322.9741.31840.328033,901,2329.1439.99740.263184,894,2333.4440.81041.357048,850,2339.0440.9840.212502,868,2343.3341.55141.146947,864,2349.1142.27141.687316,815,2353.040.982541.794947,844,2357.141.520742.338533,804,2362.441.874640.814602,898,2366.42.3907941.155045,824,237242.38873840.431598,867,237641.42141642.094439,815,238041.9703141.71021,849,2386.541.329542.063395,800,2390.441.439842.590348,791,2395.41.1538042.18697,836,2399.41.2714440.406699,856,2403.41.8901242.132592,848,2409.41.5985342.419667,827,2413.42.0171341.778103,791,2418.43.1062242.545172,819,2422.42.2844442.428275,756,2426441.4712842.152987,819,2431441.5374841.667918,819,2435440.5466541.124692,863,2441442.2194642.737708,795,2445441.7471141.603721,817,2444141.5572742.672165,827,2454241.8785041.967487,805,2414142.2720842.680592,797,2442.42.4717841.830508,850,2443.42.7160341.838106,854,2442.42.3754542.543858,754,244242.31099143.250127,779,244242.40192142.029425,850,244242.05125441.889528,815,244243.16451342.609056,789,244242.48406,43.354892,761,25442.731044,42.749237,795,24442.118819,42.43808,814,254442.56842443.009678,809,251442.52128542.164652,833,251442.48291743.548583,762,242441.99854842.879622,805,243442.69372242.648889,802,242.43.24105542.775479,799,442.41.79270242.595246,763,443.43.20256643.303832,796,243.41.38842542.526092,757,443.41.76982143.331547,761,442.43.564941.648448,842,25543.42.445542.765119,796,25642.42.847486,802,2568.0408742.42.8942.156094,808,2574142.42.154323,791,2575.788541.941.944164,812,2581.195642.643.264657,780,2584.931042.742.871868,751,2588.516842.243.134484,790,2593.871243.743.7642.389383,818,259843.741.7841.439813,814,260341.42.78241.965309,802,26074340.40353,932,2611.073448
442.897433,786,2616.3465914243.101131,763,2619.9975424341.787995,816,2625.3974184342.6048,798,2629.216382
43.468307,731,2632.717344
42.285413,803,2638.544649
443.755415,762,2642.315012
442.434067,817,2646.386998
443.739919,744,2651.539708
442.514657,761,2655.17254
43.86608,743,2660.218006
42.777085,774,2663.932563
43.238287,745,2667.502734
43.958744,739,2672.530895
443.40828,750,2676.141754
43.909504,739,2679.658297
43.503219,768,2684.827586
443.592239,771,2688.692024
443.385898,784,2694.054354
444.369256,759,2697.678272
442.795589,774,2701.497676
443.771659,737,2706.499569
443.13761,762,2710.153377
44.547602,722,2713.614042
43.591837,763,2718.883733
443.113275,770,2722.6358334444.001873,725,2726.2120844343.621748,722,2731.4083984443.324401,797,2735.2482194343.704455,738,2740.2728224243.954898,750,2743.8467524244.371783,731,2747.3274874343.47456,725,2752.329307
444.142546,731,2755.981246
444.191958,740,2759.616754
443.874833,732,2764.632742
444.323625,756,2768.263333
443.860268,743,2771.9185
43.598647,726,2776.973264
44.687349,755,2780.660521
43.68705,785,2786.25266
43.971835,722,2789.823034
44.429134,732,2793.388819
44.19334,739,2798.417657
43.65641,745,2802.018981
44.558405,716,2805.54375
44.228874,712,2810.605169
43.746887,731,2814.253187
44.283457,708,2817.654605
45.237082,685,2822.483078
43.38257,758,2826.127514
43.592029,775,2829.828931
43.574372,746,2834.970475
43.466041,756,2838.615855
45.199322,682,2843.519328
44.62094,696,2846.941107
45.056058,722,2850.42512
44.448007,724,2855.45823
44.855404,694,2858.78408
44.099268,723,2862.375819
43.730918,731,2867.36647
42.880873,803,2871.267833
45.464456,703,2874.658362
44.08968,741,2879.848172
43.673212,751,2883.5276
45.060648,714,2887.032606
44.233843,721,2892.147779
43.972989,728,2895.649338
44.219918,754,2900.785491
44.60612,719,2904.237384
44.187059,717,2907.717324
44.361579,705,2912.738642
44.129463,701,2916.162467
44.973644,691,2919.49709
43.786558,698,2924.703982
45.134399,712,2928.222485
44.162486,733,2931.809983
45.101141,705,2937.022563
44.492557,700,2940.474771
44.30044,709,2943.855861
44.510132,704,2948.749147
44.469573,701,2952.1645
44.789655,686,2955.540329
43.912193,721,2960.837634
44.109821,735,2964.472908
44.253994,718,2968.01014
44.524303,680,2973.078099
44.911534,733,2976.585892
45.066829,708,2979.959707
44.860347,719,2984.881237
44.279037,722,2988.341979
44.542986,646,2991.470316
44.669581,702,2996.551805
44.279888,718,3000.029817
45.071148,713,3005.272663
44.599334,719,3008.8253484445.09402,719,3012.2888214544.859912,689,3017.12243
444.677119,681,3020.387415
445.051512,696,3023.708402
444.731842,691,3028.680156
444.946613,707,3032.111197
445.460771,691,3035.53085
45.160895,704,3040.427393
45.095281,707,3043.954258
445.315614,674,3047.30492
44.181269,711,3052.383198
44.745612,717,3055.823414
45.308007,693,3059.127299
45.106328,702,3064.041804
445.21071,695,3067.38876
44.182823,731,3071.032298
44.907233,697,3075.948039
45.474028,695,3079.261389
45.066773,727,3082.764546
45.054515,683,3087.783355
45.506247,712,3091.190264
44.822081,703,3094.549611
45.115189,677,3099.287948
45.556048,698,3102.72442
45.039962,698,3106.19259
45.602538,669,3111.0391
45.356088,702,3114.525261
44.060734,723,3118.052351
45.414628,699,3122.934903
45.069183,684,3126.284839
45.416517,659,3129.447936
45.395618,708,3134.668167
45.418308,702,3138.031932
44.75302,709,3141.422395
45.33063,672,3146.148359
45.734432,692,3149.558966
44.840412,688,3152.918653
44.933172,688,3157.812931
45.372191,691,3161.148902
44.556754,674,3164.351825
45.648992,665,3169.140003
44.58254,686,3172.513723
45.477868,684,3175.878337
45.716616,665,3180.829571
45.236521,689,3184.13317
45.551811,654,3187.229979
45.441229,688,3192.008792
45.28199,671,3195.299972
45.200094,702,3198.80263
45.259772,670,3203.533387
45.312782,680,3206.822069
45.707435,691,3210.214209
45.305861,677,3215.107422
45.477149,696,3218.569779
45.002671,676,3221.957282
45.849341,661,3226.768067
45.797306,689,3230.051328
46.553063,666,3233.256911
46.069984,678,3238.102587
45.802088,678,3241.458674
45.159461,673,3244.794498
45.174013,671,3249.83981
45.889782,672,3253.089081
46.134191,654,3256.308249
45.322655,677,3261.131035
45.104419,664,3264.414732
46.274437,679,3267.814734
45.387053,665,3272.585619
45.893548,630,3275.67417
46.039944,679,3279.014652
46.054691,658,3283.997324
45.273482,701,3287.436889
45.682318,673,3290.745899
45.149069,690,3295.601852
45.398047,680,3298.926004
46.65694,663,3302.178748
46.357874,671,3307.041292
46.196007,674,3310.367454
46.177941,653,3313.578543
45.735434,663,3318.271501
46.539315,658,3321.409108
46.24209,662,3324.586077
45.781657,693,3329.483632
45.71763,658,3332.723414
46.286918,688,3335.992794
45.978629,642,3340.558994
45.897623,666,3343.769126
46.489701,645,3346.879186
46.231435,683,3351.634418
46.080799,654,3354.795469
45.908645,674,3358.094256
45.564658,684,3363.217954
45.600086,675,3366.481479
46.287099,655,3369.658158
46.728273,635,3374.177957
46.163299,635,3377.226981
46.167391,655,3380.445763
46.351884,634,3383.599519
46.118803,647,3388.290591
45.448765,642,3391.52198
45.70123,634,3394.570781
45.884798,635,3399.467304
46.030102,645,3402.638273
46.981723,640,3405.697306
46.322179,648,3410.387646
45.883156,645,3413.560757
46.408757,653,3416.764035
46.398763,655,3421.494553
46.353556,634,3424.605872
45.348189,654,3427.83873
46.825684,619,3432.418298
46.759631,656,3435.557243
47.026271,636,3438.638196
45.872533,637,3441.716094
47.121249,623,3446.532222
46.862358,662,3449.750555
46.733617,635,3452.862526
46.657272,656,3457.487244
47.015017,654,3460.663152
45.871624,645,3463.870767
46.104292,678,3468.621943
46.375156,666,3471.83645
46.509049,649,3475.046443
46.51385,640,3479.609174
46.738025,660,3482.776727
45.446966,660,3485.932647
46.569082,658,3490.551863
46.245638,641,3493.710253
46.061986,618,3496.75921
46.252613,641,3501.684159
45.673649,646,3504.854869
46.227792,649,3508.022142
45.753651,641,3511.111682
45.587159,666,3515.810581
46.059214,653,3518.972216
46.435415,629,3522.006055
46.464371,623,3526.472002
47.11571,640,3529.52185
46.103959,631,3532.556694
46.612098,644,3537.154301
46.091389,678,3540.443206
46.529718,650,3543.671439
46.642361,658,3548.457329
46.459517,628,3551.53567
46.850994,629,3554.591913
46.77927,664,3559.285693
46.189234,619,3562.250388
46.857937,654,3565.387173
45.639875,667,3570.166072
446.222577,669,3573.438048
445.805523,657,3576.667113
446.899739,647,3579.838739
446.809912,640,3584.746776
446.561065,627,3587.777504
446.765639,642,3590.833387
446.111771,633,3595.4185834646.963504,639,3598.5454164647.05636,660,3601.82746.2347.049548,623,3606.45046.3046.208711,638,3609.60446.4446.914972,653,3612.8146.76547.137849,638,3617.646.829946.752068,648,3620.846.142646.434456,628,3623.946.896446.434779,647,3628.546.844546.407759,643,3631.46.7114546.792664,636,3634.45.9833445.918441,616,3637.46.5249547.236776,628,3642.47.2586046.894638,649,3645.46.9093846.714036,640,3648.46.3335447.519038,618,3653.46.9063547.062042,624,3656.46.9081746.907099,611,3659.47.2483246.789031,643,3664.46.8848646.689138,644,3667.47.4521146.675716,651,3670.47.0853246.593492,646,367546.85078547.639009,630,367846.73518246.239027,633,368147.00471646.829932,636,368646.4711046.870606,643,3689.47.100946.503979,635,369246.51686646.744216,641,36947.027802,46.570841,638,37046.989733,46.350039,673,37046.85694647.179664,636,370646.49569746.596236,629,371146.70212347.563277,619,371446.97374446.392443,649,371746.88654546.488361,660,372246.86159346.803125,630,372547.24731347.237549,654,372846.10391447.08642,655,373346.32604446.68493,643,3736.46.8089946.849912,654,3739.46.787946.640158,642,3744.546.139846.429174,641,3747.646.304845.928417,642,3750.46.7585747.232584,638,3753.46.7030346.012533,655,3758.46.1008447.007049,638,3761.46.4590846.569968,666,37647.040478,46.865402,641,37646.766091,47.119358,644,37746.856971,45.945561,652,37746.189738,46.523317,663,37847.005699,46.997349,659,37847.36565,646.528688,670,3746.236471,46.924189,628,37947.150804,43.788815,784,37947.243191,46.808576,631,37946.606967,46.49432,620,380335.331786,1236,3807.395376
446.809671,660,3810.569988
447.082235,636,3815.093935
446.405545,644,3818.177808
446.852546,654,3821.3398444746.97053,654,3825.969365
445.987903,663,3829.15231
446.400318,648,3832.237373
446.460968,638,3837.066463
446.794665,660,3840.344782
446.18259,667,3843.602014
47.116453,651,3848.219886
47.022167,666,3851.402916
46.776183,641,3854.57641
46.412052,640,3857.636377
46.15826,647,3862.218539
46.912249,659,3865.460516
46.349074,635,3868.60394
45.679193,675,3873.671038
45.678408,671,3876.97022
46.770922,640,3880.10999
46.71886,646,3884.841894
47.486869,6544.151138,763,345.832998,46.391862,674,38945.991882,47.007154,659,38946.451727,46.323121,673,38946.736322,46.526127,623,39046.05887147.127599,643,39046.911522,46.110279,642,39046.809759,46.157865,662,39147.075704,45.919014,661,3946.874159,646.593804,646,3947.217632,647.237856,649,3945.104105,763,3929.675559
46.519736,646,3932.794666
47.628656,637,3935.850846
46.227166,647,3938.942739
46.104091,658,3943.601061
46.834524,647,3946.694817
46.187321,642,3949.752651
46.511286,619,3954.197833
47.58004,47.27277,644,395646.653119,691,3960.754232
47.445794,629,3965.566901
46.94273247.083384,634,396747.0158047.358425,654,397046.41148246.578459,631,397547.05388547.192519,643,397846.34350546.78537,635,3981.47.082146.174478,649,3986.847.104746.467533,631,3989.47.0768446.724421,649,3992.46.3238146.334581,631,3997.47.1557246.996116,618,4000.46.973358,638,4004.44741
46.730242,642,4007.533684
46.777732,646,4012.184484
45.88220545.812913,659,401446.77054946.209191,655,4047.020863,647.523491,607,4047.247377,647.122373,619,4047.411736,47.057256,625,40247.179558,46.862855,620,40346.727518,624,4036.772111
47.719797,619,4039.720643
47.144403,630,4044.27959
47.38846,623,4047.280238
47.416168,635,4050.412291
47.176008,636,4053.509192
47.63819,623,4058.039083
47.078791,630,4061.194581
46.704514,619,4064.273135
46.790944,632,4068.934008
47.727685,603,4071.868897
47.068123,47.246607,646,4047.612797,624,4079.196344
46.973561,625,4082.214544
47.445435,624,4085.311156
47.557399,647.355296,630,4047.228183,646.782809,635,4046.838246,47.65801,624,40947.40238,647.524978,610,4046.472497,646.395261,637,4147.332878,647.102801,637,4146.7979,63046.715426,624,45.658699,738,4114.829004
46.931581,629,4117.979103
47.50333,631,4121.057054
47.372786,617,4125.497134
46.343139,641,4128.582961
46.800663,613,4131.528833
46.819376,622,4134.498474
47.179868,619,4138.966457
47.312693,634,4142.109014
46.398155,655,4145.325923
47.126639,628,4150.168649
47.320449,646.872737,648,4146.955896,646.638895,638,4147.045437,646.690298,631,4146.53683,6146.801429,648,447.498541,647.175381,631,4147.044486,647.079368,626,4146.429035,647.341147,631,4146.433362,646.35706,633,41747.345903,46.922109,637,41847.426464,47.600626,606,41847.782306,47.251853,620,41846.656322,46.549762,630,41947.349103,47.697519,619,41946.788745,46.644771,635,41947.872121,47.445809,644,42047.0623447.155306,608,4206.47.3076746.587569,607,420846.93503847.800844,604,421147.15828147.709027,606,421647.11672,47.379438,641,42147.531623,46.982351,629,42247.417061,47.388658,626,42246.546132,47.643609,632,42247.269228,47.446572,646,42347.786428,47.008004,637,42346.502954,46.402892,631,4246.122629,646.729692,628,4247.761653,647.276377,628,4247.01888,6247.6541,625,42547.092365,46.768319,625,42547.029909,47.202235,625,42545.158847,47.125018,648,42646.20738,647.214328,636,4246.826547,646.869469,636,4246.625884,656,4272.232744
46.540345,623,4276.694204
46.737689,624,4279.709923
47.604221,614,4282.723904
46.802639,47.35192,619,428647.36487346.686161,629,428946.54485546.402623,617,429246.35899446.503649,619,429747.21998,47.708796,625,43046.697103,47.492743,644,43046.673578,47.167668,614,43047.884593,47.230767,631,43146.66059,646.772987,619,4347.648197,646.578911,622,4347.089259,644.882667,770,447.227452,6146.720708,619,446.712157,6347.017842,617,47.697278,60646.943487,629,47.272721,64447.2771241.58447.791063,6146.78261846.79047.23478,62847.33451747.2947.404612,6247.53144,646.2246.796778,46.547363,6146.6346.596571,41.491604,925,43546.668595,47.43291,626,435847.14507,46.963453,631,43647.386334,46.652129,649,43647.535082,46.899248,664,43646.379973,46.574273,623,43745.934351,46.360335,646,43746.83916,647.347038,637,4346.389026,647.179631,626,4346.893966,646.682273,619,4347.055536,444.457825,757,4391.248533
445.592426,721,4394.709806
446.915524,631,4399.54539.3147.052115,612,4402.56647.4447.157576,639,4405.66746.3947.761856,614,4408.64447.3947.449549,625,4413.16746.5247.070389,641,4416.2247.41146.450602,643,4419.2744.65646.975204,667,4424.0047.42447.465603,636,4427.1145.86347.23791,630,4430.22247.0446.657265,641,4438.8741.50245.86902,742,4438.50345.410959,704,4440.964463
46.991595,643,4445.61491
44.666673,756,4449.227332
47.599398,613,4452.199106
47.071357,636,4457.030387
46.681712,658,4460.234308
47.257638,630,4463.309751
47.121854,640,4468.172902
46.711941,607,4471.128685
47.26959,637,4474.205091
47.624374,628,4477.309944
47.27636,624,4482.123884
47.055473,634,4485.236745
47.117413,612,4488.2545.76745.633958,697,4493.485817
46.656338,619,4496.553532
47.269182,635,4499.719465
4647.227142,631,4505.1980814746.739309,630,4508.19534947.600974,648,4510.307606
447.312794,631,4515.759747
46.739505,644,4517.953302
447.530655,650,4521.987856
445.353315,682,4526.856622
445.189768,756,4530.633119
447.391549,625,4533.727144
447.459147,607,4536.710196
446.914653,625,4541.50351
446.591224,637,4544.528312
447.594551,625,4547.5872
47.685483,620,4552.135535
447.60761,625,4555.213655
46.550274,649,4558.401919
46.549606,625,4563.260931
46.369832,678,4566.620045
46.820458,643,4569.818343
46.911501,631,4574.359145
47.400043,619,4577.460808
46.743704,623,4580.538776
46.57157,643,4585.47231
47.732063,625,4588.570066
47.287566,617,4591.585295
