serial_timesteps,time_elapsed,nupdates,policy_entropy,clipfrac,value_loss,policy_loss,explained_variance,approxkl,eprewmean,total_timesteps,eplenmean,fps
2048,12.687409162521362,1,34.01491,0.13871661,0.35999584,-0.017572168,-1.7916498184204102,0.009427477,nan,24576,nan,1937
4096,24.320154190063477,2,33.97831,0.124678575,0.38679865,-0.016531402,-0.76395583152771,0.00852708,nan,49152,nan,2119
6144,35.8453369140625,3,33.948467,0.123754844,0.44635183,-0.017546806,-0.538670539855957,0.008387366,nan,73728,nan,2132
8192,47.25104284286499,4,33.894043,0.122334816,0.46706265,-0.017051663,-0.4670283794403076,0.008437181,nan,98304,nan,2154
10240,58.75556778907776,5,33.860405,0.12509766,0.46390247,-0.017364386,-0.40081357955932617,0.008605861,nan,122880,nan,2136
12288,70.14040493965149,6,33.814808,0.13728428,0.46564445,-0.01961425,-0.34922873973846436,0.009265236,nan,147456,nan,2158
14336,81.88820576667786,7,33.761272,0.1333496,0.46011704,-0.018648937,-0.29258716106414795,0.008918749,nan,172032,nan,2092
16384,93.6387951374054,8,33.710762,0.14068602,0.44549614,-0.0196352,-0.2824186086654663,0.009396632,nan,196608,nan,2091
18432,105.12289786338806,9,33.654324,0.13677977,0.42951363,-0.019679818,-0.2549995183944702,0.009208993,nan,221184,nan,2140
20480,116.56363320350647,10,33.616688,0.13750404,0.41251832,-0.020133222,-0.2168353796005249,0.009232616,nan,245760,nan,2148
22528,128.15961456298828,11,33.566288,0.13415112,0.38736257,-0.019956112,-0.20685720443725586,0.009019127,nan,270336,nan,2119
24576,139.60437846183777,12,33.491714,0.13710125,0.3703907,-0.02003296,-0.19436120986938477,0.009248517,nan,294912,nan,2147
26624,151.2287139892578,13,33.42031,0.14816484,0.35164043,-0.021461565,-0.18637609481811523,0.009853324,nan,319488,nan,2114
28672,162.81449604034424,14,33.375557,0.15438238,0.3172314,-0.02225512,-0.16820502281188965,0.010142069,nan,344064,nan,2121
30720,174.24452209472656,15,33.313713,0.13985597,0.31829745,-0.020993097,-0.15347492694854736,0.0094240485,nan,368640,nan,2150
32768,185.60206127166748,16,33.262062,0.14526771,0.28825283,-0.021207778,-0.14381027221679688,0.009709399,nan,393216,nan,2164
34816,197.16025638580322,17,33.19568,0.14133714,0.2817722,-0.020780656,-0.12109947204589844,0.009584783,nan,417792,nan,2126
36864,208.75870966911316,18,33.129898,0.14914146,0.26631042,-0.022174237,-0.11846423149108887,0.009894265,nan,442368,nan,2119
38912,220.55509781837463,19,33.06236,0.13692223,0.25600877,-0.021021593,-0.10251414775848389,0.009229698,nan,466944,nan,2083
